Accessory		https://textures.minecraft.net/texture/
AutoRecombobulator	5dff8dbbab15bfbb11e23b1f50b34ef548ad9832c0bd7f5a13791adad0057e1b
BaitRing		5a316d585b789b582f2d99e8e6cb2d70433e8996fab024a74bc790e22aedcdeb
BatArtifact		382fc3f71b41769376a9e92fe3adbaac3772b999b219c9d6b4680ba9983e527
BatRing			93c8aa3fde295fa9f9c27f734bdbab11d33a2e43e855accd7465352377413b
BatTalisman		8a29c9ece428fa23395ac2019bf2d027440529f2533fc8201e7b3da0f60f2005
BeastmasterCrest	53415667de3fb89c5f40c880c39e4971a0caa7f3a9d2c8f712ba37fadcee
BitsTalisman		2ebadb1725aa85bb2810d0b73bf7cd74db3d9d8fc61c4cf9e543dbcc199187cc
CampfireTalisman0	-
CampfireTalisman1	-
CampfireTalisman2	a3cfd94e925eab4330a768afcae6c128b0a28e23149eee41c9c6df894c24f3de
CampfireTalisman3	a3cfd94e925eab4330a768afcae6c128b0a28e23149eee41c9c6df894c24f3de
CampfireTalisman4	-
CandyArtifact		4eb46bbca3812363b59676ff629dc3698257fd178d394fadffda7143422e2f10
CandyRelic		39668767f1141835e2c49ad2b415598f1b166be9173902a0257e77704f913e1f
CandyRing		2670c37a2f177e8afe29627adfb692bab30ba679736ccccc826148987f9bcf27
CandyTalisman		2c42b95ee1a78b08b8f9e7acfedf33ad6e4ecd081912518ba99f041a7ef21f1b
CatacombsExpertRing	c078c68f6f9669370ea39be72945a3a8688e0e024e5d6158fd854fb2b80fb
CatTalisman		3a12188258601bcb7f76e3e2489555a26c0d76e6efec2fd966ca372b6dde00
CheetahTalsiman		1553f8856dd46de7e05d46f5fc2fb58eafba6829b11b160a1545622e89caaa33
CoinsTalisman		452dca68c8f8af533fb737faeeacbe717b968767fc18824dc2d37ac789fc77
CrookedArtifact		5b7ff88d154d04a8a26995c99f64e53b574c7b82ec21a12a9e448bca1e70f461
DevourRing		8a7d1a52e8c8ddaaf0c428e1fe4901ef33eff251f289de2716395cad20bf309b
DullSharkTooth		f3ab3aa1ade74915dacd298613904361c18877eebfa81d9f936309f271e1389a
EmeraldRing		f36b821c1afdd5a5d14e3b3bd0a32263c8df5df5db6e1e88bf65e97b27a8530
EnderArtifact		969da4e7b8d558af02e80e2e1669ceb6084898db55907ef3e66d9a329329e941
FarmerOrb		73b172a979eff9bf5bfb80eb8515d93e4888cc41cd806473f2a9a0d8bd29e3
FarmingTalisman		9af328c87b068509aca9834eface197705fe5d4f0871731b7b21cd99b9fddc
FeatherArtifact		6164cc76081599a20a6896a3818322a0cdc08069ff960bbd79ff54fc45e35ee6
FeatherRing		ed7ad1b1db2b323f013b775a8f9481f1cd292bf9a58dd2905e3e1929d13bac
FeatherTalisman		c4464467b642cfeb2b6debf8eeb10d486e5bcda63a22977bae6a35acee72f5
FireTalisman		70a44d51ecc79f694cfd60228c88428848ca618e36a659a416e9246d841aec8
FishAffinityTalisman	46a27ec5ed3f01e301677f88fdbdd962c08368600907eec37a2d4dd8c7f835fc
FrozenChicken		d61c33024246ed219a1317e2459130f2aed227655e85cf01fc513481236d8dd1
GravityTalisman		ba52632a9c8f7bde94719064234920ded48614e2bd8bc91afe7ffc2cd8a46f19
HasteRing		3c26a1ec929d4b144266c56af11d9abaf93f6b274872c96d3e34cb7c7965
HealingRing		879fe7543ca1d5855e961514cff7e2728d2740ca3c33320d84dd053aea5dcb7d
HealingTalisman		651eb16f22dd7505be5dae06671803633a5abf8b2beeb5c60548670df0e59214
HegemonyArtifact	313384a293cfbba3489b483ebc1de7584ca2726d7f5c3a620513474925e87b97
HonedSharkTooth		e6b120938d83bf49ddab3a78666a0bf37a3de7b46b9d97b984da3be62ce3e5e3
HunterRing		5c577e7d31e5e04c2ce71e13e3962192d80bd54b55efaacaaea12966fe27bf9
HunterTalisman		5c577e7d31e5e04c2ce71e13e3962192d80bd54b55efaacaaea12966fe27bf9
IntimidationArtifact	f931ca9e46fcf351354fa022992fa07cc59be50ffb80e9dd8af4973378cf89d5
IntimidationRing	f931ca9e46fcf351354fa022992fa07cc59be50ffb80e9dd8af4973378cf89d5
IntimidationTalisman	f931ca9e46fcf351354fa022992fa07cc59be50ffb80e9dd8af4973378cf89d5
LavaTalisman		c078f3f24b1760f9d4abb0851eb8f6c7dfff8855708e6049d15dc02042ba8436
LynxTalisman		12b84e9c79815a39b7be8ce6e91248d71f760f42b5a4de5e266b44b87a952229
MagneticTalisman	6b9c49ffdf4ce4c6f5f049efc8ca0e08b9b5bbf3c6a8783dfaaccad77dfc997a
MineAffinityTalisman	d9563fdc4acab6db324b21bc43b238fe465e530a6327e7eef11d2d0c4ea
MineralTalisman		3cbd70f73e2e09566ef914c697b13f48b97bfd6c11c83e540a15ff4d736b9c16
NewYearCakeBag		a4573d6546ba71eff3b67e5116b0d75e29adf67135e95338dca83eec288f27
NightVisionCharm	ec33fa1487ec8376d8c8f4bd91077dadecc2ad1bce3b7d48fb88218fbfc6fe19
PartyHatCrab1		ae38a15704089676a24e9eeccf4c290644d352c7d8f2b4135fa3538625107db
PartyHatCrab3		2e1556958b1df4fd6228c9dcbd8c053f5d8902a41c4a59376bd0df1c60be8369
PartyHatCrab4		6b92684647051bd27ee04adb4098ee9bccca45a726a7cbf38e98b7e75cb889f4
PartyHatCrab5		993c60fd0dd130695e378eef010a7d3c5dfde77f6b82b20b8124cfb830017ff
PartyHatCrab6		effaf0dc89da58bd1ed08f917407853e58d7bcbf5e6b5f33586389eb863a5bbd
PartyHatCraba		2e3af5824014b57f4a4a84d4bb7fb88cac9e4ac75d00c7adb09dfe5ab737e224
