Helmet		https://textures.minecraft.net/texture/
AdaptiveArcher	-c316eafa5a831b6a4b9de43b00649042f4fa8f0ae6265ac2515ad1dbdc151753
AdaptiveBerserk	859e077da25fcc67acad364ac51fc2c9d7b238fc565a5234a38dc9dc8313b318
AdaptiveHealer	-c316eafa5a831b6a4b9de43b00649042f4fa8f0ae6265ac2515ad1dbdc151753
AdaptiveMage	-f41e6e4bcd2667bb284fb0dde361894840ea782efbfb717f6244e06b951c2b3f
AdaptiveNone	-16f0d34aaa714377983701c1bbe9b3f6e7b30cb38571bc0a2fd7541d7edb1637
AdaptiveTank	-2d7a509789933b2640775f003a71dfb4f5d97aa23d804223029d295274deead1
BatPerson	a83b3f04fc16bc2c2cb36a12044265b0b933f3dfa2b342eb45798ff7d715b0d8
Blaze		b96ff145ea18d61601518c646bae678f5fde096cf0360ec36cadac41425534e
Diver		17830c1d82845c91b83429f9dc597317841538e14d4fbed61ae1a3b0eb7ccd
Ember		38d199e23c17488a01a07005a41fe330b1d22b04e99943c9f8c897d156e9555a
Ender		f715ca0f742544ae3ca104297578c2ed700ea3a54980413512f5e7a0bc06729a
FrozenBlaze	55a13bb48e3595b55de8dd6943fc38db5235371278c695bd453e49a0999
HolyDragon	99cc8ba26793218f6f6491947a1837fd52878701f33f76bbe2883a45aba8ab8f
Mastiff		3285950fd67858e76c439b0b5b87c69a6c52a4df936e224d843b14c22565949e
Mineral		a25e6121971e91c5415f617e17114990a146a746dd952d4176e25764183ef
NecromancerLord	852f92694ad81e6358b43072aaef25f8e0099184bb4c7fd388e4adf70acc7e0f
OldDragon	524c4da6ab27e9c93fbf49ea1b1fefaefbe2d4c0c8b222e2ff6b18179fb5addf
OldDragonBaby	2eaf836b7183554269647827289c67a3855e8d0b345719328188defdbd05a64b
ProtectorDragon	1f1a1ccbb024ed1d28471bc4b3c28d093277161a3871d2699d68e5d2c387964
ProtDragonBaby	-979c9144496d21f3334b32437deeb63379766399d0a92bc06712ba592bc237e6
SharkScale	390116da514a73ddd9295491852adc588007f2acd7de269788a2128d8e4a764b
ShadowAssassin	9b8af52ef2f72c3bf5ece6e70a82f1371959ce3fcb736c500305caddc505c5e2
Snow		3d1119643cecfbe004141a1ea4062f8315ca78e503958ac50505e8592c44a601
StrongDragon	78bc6551beb2148d939b69925140d2379fe0fab6e7d31f65df50b59e9f77a0e4
StrDragonBaby	aec10b0dceb5bb34af2cb953733f01f20bb3aafd5f21fe0eadf1cc4ce7f4dab4
Spooky		4c6570f1242992f6eba23ee582598c39e3e745383273deef8b3977583fe3cf5
SuperiorDragon	1e0329f42192ee7c1a0c704f82dbbbe7c00fbfa3f020c1067a208630b991b988
SupDragonBaby	52a770459fa6d65e22aa95679d93a2870aafea70f9f1c6a0f78eb641e92890
YoungDragon	a0e81ed07dfb0244d56f4d5f2b37553ec026fb4796f0fb0c57a8eb264983e1e0
YoungDragonBaby	43503dcaae6a6cde027316a3ce6e203b64327b7de72441865cfd3cdb45d5ef44
Werewolf	ce4606c6d973a999aec1687c7e075f7d37db8185e88b844507f16b3e2b3eb690
WiseDragon	5797c77ccee3c04c3deed770595ea83ea1e84c9a4629b753af5d351c0cc11a74
WiseDragonBaby	94c6834c8bf0b81f92cf0da4bd99ad764154d5368a38e03c85adda10e518890a
UnstableDragon	605fc4e2b68c45059afef3999e9a95aa3d8943597a7894e569397d6cf5d1672a
UnsDragonBaby	-e0af69135ec7d34c4c784c5ac326706e398ff499ca0220d9f25b2bd63a66939a

BlazeHat	b78ef2e4cf2c41a2d14bfde9caff10219f5b1bf5b35a49eb51c6467882cb5f0
BlobfishHat	7a0637778bdca1824ff2750603aef62e9c931088f4c7a51c0902edd596a746de
BonzoMask	12716ecbf5b8da00b05f316ec6af61e8bd02805b21eb8e440151468dc656549c
BonzoGold	15e75eae869bf0c298ee48790a62c2d6140790bd481b1de89b768d52f28c74a9
BonzoDiamond	-
ChickenHead	-
ClownfishHat	-
CowHead		-
CreeperHead	-
Crystallized	87dfb7c1ee4de31f54931eac5c657c145e4fa7fa09e3f52b1788a682b65ac75
DarkGoggles	29319525825f1f30727eb940d3a06426bc4cec07fbd80af5cd146e3eb3879f68
EndermanMask	d746c26aac16e3880982d1399fb5f9f79913dd616e71654f9bf4d41fb33
FishHat		4a786e4e35b59d91eb6454ef26b7b0683761d6b11f1d63c7740af17aa3f
GhastHead	7a8b714d32d7f6cf8b37e221b758b9c599ff76667c7cd45bbc49c5ef19858646
KrampusHelmet	5f18998a51a2f2912f39a294212c7e9d194789fe053fcf85382a9ef219d93
LanternHelmet	cced4bcfd2116464dedf157bfc62db26c957a9a6ac8bbc52563467085be23
MagmaCubeHead	-
MenderCrown	-
MenderFedora	1e595e143486bbdd98b2b562300d4c698e6a53a5aa3fa328f74cb83909e088c4
MenderHelmet	8793eef4849078df4ccd498054c74e2171c771f2730944164a8ee7b2d563832
ProfessorGold	-
ProfDiamond	-
PufferfishHat	-
RabbitHat	-
ReaperMask	1fc0184473fe882d2895ce7cbc8197bd40ff70bf10d3745de97b6c2a9c5fc78f
