Sack		https://textures.minecraft.net/texture/
agronomy sml	2ab879e1e590041146bc78c018af5877d39e5475eb7db368fcaf2acda373833d
agronomy med	294c8341a535f80b3f43c5c243d03006bd325c9e96ff3ab957ccc37062830ac6
agronomy lrg	ef835b8941fe319931749b87fe8e84c5d1f4a271b5fbce5e700a60004d881f79
candy		-
combat sml	9b8f452c9d6b6254b5478569a60b0b6fb031c7ad2f06ea3dacf2ce874ca7083
combat med	e4b2b79a4e060abb00aa88e7c4cd5c0039f5e5cad2d45c1cff5676cb83a1815e
combat lrg	1c13c4774c82c07071e6d1408717b1e3eac56186042a5803fc174452e32a254a
dungeon		fb96c585ccd35f073da38d165cb9bb18ff136f1a184eee3f44725354640ebbd4
fishing sml	c4fbc77d27dab10de5abf9d0bcc47198f923b0e6c179a3c3983e77f12f7c033e
fishing med	ff75871c90b94f4fbc167e351d36e8aeae1cc2fec03b16629007f74c989de648
fishing lrg	f8f68669351a6fc7156ecfe3300ba94efe0766e24bed8785cf64a9f95435134b
foraging sml	4f960c639d4004d1882575aeba69f456fb3c744077935714947e19c1306d2733
foraging med	2c14105c7b629cfdeb866a560bab59734aa5cbbe880ed9f50f9044c42afd599d
foraging lrg	2c6e24df498ba4a589c259d9fc0d3db348f93cdf26a5fe461571c1da706efaf3
husbandry sml	88e464c1984c00e10c2abfeffbc9a65935c4afda66261b53d6f366ef2042e820
hunbandry med	3b23ee7983a5e1ca26077a0a503b251dde08b72932fad4cfe2f20efb181a3b2e
hunbandry lrg	c73087f1e654b1682733584a44097587fb942e1f343aae8307bd7dac84e843ab
mining sml	f07dff657d61f302c7d2e725265d17b64aa73642391964fb48fc15be950831d8
mining med	100b1bf8554985f3decf54886922ad20d144438564ef7a5b52ced71bc9dd04bb
mining lrg	915fcebbbe02fdb72acd2095d9edfcea095e604b3682db88963b5b83b2939b67
slayer sml	-
slayer med	-
slayer lrg	-
